"","nReads","Biome","Country","Hemisphere","Continent","IS10","IS10R","IS26","IS292","IS621","IS679","ISCR","ISCau1","ISRj1","Tn916","insertion_element_IS91","integrase","istA","istA1","istA11","istA13","istA15","istA17","istA3","istA5","istA7","istB","istB1","istB3","plasmid","qacEdelta","tniA","tniB","tnp.ISCR","transposase"
"SRR16004865",3504516,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,1.08430039982697e-08,7.75973943334829e-09,1.12582051273271e-09,3.06210044411268e-10,1.41161176036862e-09,0,NA,0,1.16131414437828e-09,NA,NA,5.83057118301072e-10,0,0,0,0,2.35312094451844e-09,1.46734270866505e-09,NA,5.34180289089849e-08
"SRR16004874",4139842,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,6.15132002622322e-09,6.55066787573052e-10,5.59895764137858e-10,0,0,4.80260840872671e-10,NA,0,9.17929234980465e-10,NA,NA,3.80078273518651e-10,1.22061832311475e-09,0,0,0,1.33565967010335e-10,0,NA,1.08538796891282e-08
"SRR16004879",3997054,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,6.77008116477786e-09,5.50189464540634e-10,0,0,0,0,NA,0,5.81481511132949e-10,NA,NA,0,9.28519604688853e-10,0,0,0,5.23804031669324e-10,0,NA,2.42665740818113e-08
"SRR16004890",5652636,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,9.82046252403304e-11,NA,0,NA,3.78182904400708e-09,5.8670094801788e-09,3.38083506526866e-10,0,0,0,NA,0,2.30656493713729e-09,NA,NA,0,6.24720042118403e-10,0,7.24526574858172e-10,0,0,3.93412736995625e-10,NA,9.65317697796214e-08
"SRR16004919",3640686,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,2.09837486671468e-09,3.0469642259728e-10,7.23080760054561e-10,0,0,0,NA,0,1.26542085749774e-09,NA,NA,0,0,0,0,0,0,0,NA,1.18076129059194e-08
"SRR16004920",2504842,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,5.08147579767506e-09,0,9.47692908375059e-10,0,6.08765343283129e-10,0,NA,0,6.99612590335039e-10,NA,NA,0,7.21654699178631e-10,0,1.85079697641608e-09,0,0,0,NA,3.99891773612867e-08
"SRR16004921",5889328,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,9.51513856929008e-09,5.67274857165368e-09,2.01583270621028e-10,0,1.60242730579788e-10,0,NA,0,9.19890690414934e-10,NA,NA,1.20018786523692e-10,3.71608781171638e-10,0,3.06372305974468e-10,0,1.80669101805843e-09,7.16062002320129e-10,NA,3.93594904206388e-08
"SRR16004922",3179362,"Estuary","United States","Northern and Western","North America",NA,NA,NA,NA,NA,NA,0,NA,0,NA,1.9097133324233e-09,0,0,0,0,0,NA,0,0,NA,NA,3.54391352730516e-09,2.5520277338661e-09,0,0,0,0,0,NA,3.27281775400222e-08
"SRR24270823",41495274,"Estuary","China","Northern and Eastern","Asia",NA,NA,NA,NA,NA,NA,0,NA,0,NA,7.60675830216231e-10,0,3.90290952169637e-11,0,0,0,NA,0,0,NA,NA,7.11727316224011e-11,0,1.11060647533018e-10,0,0,0,0,NA,1.43383174189909e-09
"SRR24270824",55121638,"Estuary","China","Northern and Eastern","Asia",NA,NA,NA,NA,NA,NA,0,NA,0,NA,8.99828121943691e-11,0,2.5144390665604e-12,0,0,0,NA,4.44471552169767e-12,0,NA,NA,0,0,0,0,0,0,0,NA,8.03677133106966e-12
"SRR24270825",22562450,"Estuary","China","Northern and Eastern","Asia",NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,1.0569295444422e-10
"SRR24270829",37236388,"Estuary","China","Northern and Eastern","Asia",NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,3.90478260136295e-12
"SRR24270838",21434280,"Estuary","China","Northern and Eastern","Asia",NA,NA,NA,NA,NA,NA,0,NA,0,NA,1.20178391809755e-09,0,4.79594835935707e-11,0,0,0,NA,0,0,NA,NA,2.77334251488737e-11,0,0,0,0,0,0,NA,3.24790709088432e-10
